,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
6394,840,PHILIPPINES,PHILIPPI,0,1999,1,1,1,0,0,NA,NA,,NA,NA,,NA,NA,8,1.841309071,2,1.819000006,7.505846977,11.22708988,asia,0,0,0,0,1,0,0,0,21.29999733,3.104586601,2954,0,1,0.74517715,0.160753965,0.915000021,0.039999999,10,0.299600005,83,9,0,0,8,0,0,1,0.74517715,1,0,1.818644881,11.22708988,3.104586601,1,NA,0,0,0,0,NA,NA,NA,0,0
3930,522,DJIBOUTI,DJIBOUTI,0,1995,0,0,1,0,0,NA,NA,,NA,NA,,601,6.398594856,-7,NA,NA,NA,NA,6.368478775,sub-saharan africa,0,0,0,1,0,0,0,1,3.899999857,1.589235187,2183,0,0,0.693339109,0.605800033,0.5,0.370000005,4,0.112800002,94,6,94,0,-7,0,0,0,0.693339109,1,0,NA,6.368478775,1.589235187,0,-7,1,0,0,0,NA,NA,NA,1,0
3931,522,DJIBOUTI,DJIBOUTI,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,618.6799927,6.427587986,-6,NA,NA,NA,NA,6.398594856,sub-saharan africa,0,0,0,1,0,0,0,1,3.899999857,1.589235187,2183,0,0,0.693339109,0.605800033,0.5,0.370000005,4,0.112800002,94,6,94,0,-7,0,0,0,0.693339109,0,0,NA,6.398594856,1.589235187,0,-7,0,0,0,0,NA,NA,NA,1,0
3932,522,DJIBOUTI,DJIBOUTI,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,636.1599731,6.455450058,-6,NA,NA,NA,NA,6.427587986,sub-saharan africa,0,0,0,1,0,0,0,1,3.899999857,1.589235187,2183,0,0,0.693339109,0.605800033,0.5,0.370000005,4,0.112800002,94,6,94,0,-6,0,0,0,0.693339109,0,0,NA,6.427587986,1.589235187,0,-6,0,0,0,0,NA,NA,NA,0,0
3933,522,DJIBOUTI,DJIBOUTI,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,653.4099731,6.482204914,-6,NA,NA,NA,NA,6.455450058,sub-saharan africa,0,0,0,1,0,0,0,1,3.899999857,1.589235187,2183,0,0,0.693339109,0.605800033,0.5,0.370000005,4,0.112800002,94,6,94,0,-6,0,0,0,0.693339109,0,0,NA,6.455450058,1.589235187,0,-6,0,0,0,0,NA,NA,NA,0,0
3934,522,DJIBOUTI,DJIBOUTI,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,2,NA,NA,NA,NA,6.482204914,sub-saharan africa,0,0,0,1,0,0,0,1,3.899999857,1.589235187,2183,0,0,0.693339109,0.605800033,0.5,0.370000005,4,0.112800002,94,6,94,0,-6,0,0,0,0.693339109,0,0,NA,6.482204914,1.589235187,0,NA,0,0,0,0,NA,NA,NA,0,0
3985,530,ETHIOPIA,ETHIOPIA,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,56530,10.94252682,1,0.329392761,2,0.319999993,5.767220497,10.91308689,sub-saharan africa,0,0,0,1,0,0,0,0,70.39998627,4.268297672,4745,0,0,0.693593264,0.760266006,0.400000006,0.25,15,0.612200022,50,35,47.5,0,1,1,1,0,0.693593264,0,0,0.319648027,10.91308689,4.268297672,0,1,0,0,0,0,NA,NA,NA,0,0
3986,530,ETHIOPIA,ETHIOPIA,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,58234,10.97222424,1,0.353697628,2,0.328999996,5.797250748,10.94252682,sub-saharan africa,0,0,0,1,0,0,0,0,70.39998627,4.268297672,4745,0,0,0.693593264,0.760266006,0.400000006,0.25,15,0.612200022,50,35,47.5,0,1,1,1,0,0.693593264,0,0,0.329392761,10.94252682,4.268297672,0,1,0,0,0,0,NA,NA,NA,0,0
3987,530,ETHIOPIA,ETHIOPIA,0,1997,1,1,0,1,1,3,3,"ALF, ARDUF (Afars)",0,2,1997-  ,59750,10.9979248,1,0.362628669,2,0.354000002,5.868442535,10.97222424,sub-saharan africa,0,0,0,1,0,0,0,0,70.39998627,4.268297672,4745,0,0,0.693593264,0.760266006,0.400000006,0.25,15,0.612200022,50,35,47.5,0,1,1,1,0,0.693593264,0,1,0.353697628,10.97222424,4.268297672,0,1,0,0,0,0,NA,NA,NA,0,0
3988,530,ETHIOPIA,ETHIOPIA,0,1998,1,1,1,0,0,NA,NA,,NA,NA,,61266,11.02298069,1,0.34882915,2,0.363000005,5.893379211,10.9979248,sub-saharan africa,0,0,0,1,0,0,0,0,70.39998627,4.268297672,4745,0,0,0.693593264,0.760266006,0.400000006,0.25,15,0.612200022,50,35,47.5,0,1,0,1,0,0.693593264,1,0,0.362628669,10.9979248,4.268297672,0,1,0,0,0,0,NA,NA,NA,0,0
3989,530,ETHIOPIA,ETHIOPIA,0,1999,1,1,1,0,0,NA,NA,,NA,NA,,NA,NA,1,0.36153239,2,0.349000007,5.85458231,11.02298069,sub-saharan africa,0,0,0,1,0,0,0,0,70.39998627,4.268297672,4745,0,0,0.693593264,0.760266006,0.400000006,0.25,15,0.612200022,50,35,47.5,0,1,0,1,0,0.693593264,1,0,0.34882915,11.02298069,4.268297672,0,NA,0,0,0,0,NA,NA,NA,0,0
3992,531,ERITREA,ERITREA,0,1995,0,0,0,0,0,NA,NA,,NA,NA,,3574,8.181440353,-6,NA,NA,NA,NA,8.155485153,sub-saharan africa,0,0,0,1,0,0,0,0,10.96803093,2.482239008,3093,0,0,0.587499976,0.646800041,0.5,0.310000002,8,0.580000043,50,40,48,0,-6,0,0,0,0.587499976,0,0,NA,8.155485153,2.482239008,0,-6,0,0,0,0,NA,NA,NA,0,0
3993,531,ERITREA,ERITREA,0,1996,0,0,0,0,0,NA,NA,,NA,NA,,3670,8.207946777,-6,NA,NA,NA,NA,8.181440353,sub-saharan africa,0,0,0,1,0,0,0,0,10.96803093,2.482239008,3093,0,0,0.587499976,0.646800041,0.5,0.310000002,8,0.580000043,50,40,48,0,-6,0,0,0,0.587499976,0,0,NA,8.181440353,2.482239008,0,-6,0,0,0,0,NA,NA,NA,0,0
3994,531,ERITREA,ERITREA,0,1997,0,0,0,0,0,NA,NA,,NA,NA,,3773,8.235625267,-6,NA,NA,NA,NA,8.207946777,sub-saharan africa,0,0,0,1,0,0,0,0,10.96803093,2.482239008,3093,0,0,0.587499976,0.646800041,0.5,0.310000002,8,0.580000043,50,40,48,0,-6,0,0,0,0.587499976,0,0,NA,8.207946777,2.482239008,0,-6,0,0,0,0,NA,NA,NA,0,0
3995,531,ERITREA,ERITREA,0,1998,0,0,0,0,0,NA,NA,,NA,NA,,3879,8.263332367,-6,NA,NA,NA,NA,8.235625267,sub-saharan africa,0,0,0,1,0,0,0,0,10.96803093,2.482239008,3093,0,0,0.587499976,0.646800041,0.5,0.310000002,8,0.580000043,50,40,48,0,-6,0,0,0,0.587499976,0,0,NA,8.235625267,2.482239008,0,-6,0,0,0,0,NA,NA,NA,0,0
3996,531,ERITREA,ERITREA,0,1999,0,0,0,0,0,NA,NA,,NA,NA,,NA,NA,-6,NA,NA,NA,NA,8.263332367,sub-saharan africa,0,0,0,1,0,0,0,0,10.96803093,2.482239008,3093,0,0,0.587499976,0.646800041,0.5,0.310000002,8,0.580000043,50,40,48,0,-6,0,0,0,0.587499976,0,0,NA,8.263332367,2.482239008,0,NA,0,0,0,0,NA,NA,NA,0,0
3867,517,RWANDA,RWANDA,0,1995,1,1,1,0,0,NA,NA,,NA,NA,,6400,8.764053345,-6,0.537307441,2,0.411000013,6.017841816,8.737132072,sub-saharan africa,0,0,0,1,0,0,0,0,73.3999939,4.309455872,3569,0,0,0.12921083,0.180000067,0.899999976,0.100000001,1,0.506799996,65,25,1,0,-6,1,0,0,0.12921083,1,0,0.410691291,8.737132072,4.309455872,0,-6,0,0,0,0,NA,NA,NA,1,1
3868,517,RWANDA,RWANDA,0,1996,1,1,1,0,0,NA,NA,,NA,NA,,6727,8.813884735,-6,0.591956735,2,0.537,6.286570549,8.764053345,sub-saharan africa,0,0,0,1,0,0,0,0,73.3999939,4.309455872,3569,0,0,0.12921083,0.180000067,0.899999976,0.100000001,1,0.506799996,65,25,1,0,-6,1,0,0,0.12921083,1,0,0.537307441,8.764053345,4.309455872,0,-6,0,0,0,0,NA,NA,NA,0,0
3869,517,RWANDA,RWANDA,0,1997,1,1,1,0,0,NA,NA,,NA,NA,,7895.180176,8.974007607,-6,0.568929493,2,0.592000008,6.383433342,8.813884735,sub-saharan africa,0,0,0,1,0,0,0,0,73.3999939,4.309455872,3569,0,0,0.12921083,0.180000067,0.899999976,0.100000001,1,0.506799996,65,25,1,0,-6,0,0,0,0.12921083,1,0,0.591956735,8.813884735,4.309455872,0,-6,0,0,0,0,NA,NA,NA,0,0
3870,517,RWANDA,RWANDA,0,1998,1,1,1,0,0,NA,NA,,NA,NA,,8105,9.000236511,-6,0.606850326,2,0.569000006,6.343756676,8.974007607,sub-saharan africa,0,0,0,1,0,0,0,0,73.3999939,4.309455872,3569,0,0,0.12921083,0.180000067,0.899999976,0.100000001,1,0.506799996,65,25,1,0,-6,0,0,0,0.12921083,1,0,0.568929493,8.974007607,4.309455872,0,-6,0,0,0,0,NA,NA,NA,0,0
